"","ID","이름","분류번호","대권역","수계","중권역","수질목표","주소","위도.DMS도.","위도.DMS분.","위도.DMS초.","경도.DMS도.","경도.DMS분.","경도.DMS초.","lat","long","RCH_ID","본.지류","하천.호소","수량","총량","자동","퇴적물","방사성","예보","주요","중권역.1","보대","조사기관","TN","x","y","type"
"영동천2","영동천2","","3004A70","금강","금강","영동천","","충청북도 영동군 심천면 초강리 (초강교)",36,12,41.04,127,42,49.1,36.2114,127.7136389,30040607,"지","하천",1,NA,NA,1,NA,NA,NA,NA,NA,"충청북도",3.17334444444444,127.7136389,36.2114,"large"
"추풍령천","추풍령천","","3005A10","금강","금강","초강","","충청북도 영동군 황간면 광평리 (광평교)",36,11,10.61,127,56,4.39,36.18628056,127.9345528,30050107,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.24678014184397,127.9345528,36.18628056,"large"
"초강1","초강1","","3005A20","금강","금강","초강","","충청북도 영동군 매곡면 장척리 (내장교)",36,12,9.12,127,56,2.69,36.20253333,127.9340806,30050107,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.75621513944223,127.9340806,36.20253333,"large"
"금계천","금계천","초강A1","3005A25","금강","금강","초강","","충청북도 영동군 황간면 금계리 (용암교)",36,15,20.16,127,51,28.1,36.2556,127.8578056,30050303,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.72119920318725,127.8578056,36.2556,"large"
"초강2","초강2","초강A","3005A30","금강","금강","초강","Ia","충청북도 영동군 심천면 심천리 (심천교)",36,13,38.11,127,43,25.94,36.22725278,127.7238722,30050307,"지","하천",1,1,NA,1,NA,NA,NA,1,NA,"금강물환경연구소",2.10388844621514,127.7238722,36.22725278,"large"
"이원","이원","금본E","3006A05","금강","금강","대청댐상류","","충청북도 옥천군 이원면 지탄리 (이원대교)",36,14,14.47,127,40,17.24,36.23735278,127.6714556,30060101,"본","하천",NA,1,1,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.9487171314741,127.6714556,36.23735278,"large"
"옥천","옥천","","3006A10","금강","금강","대청댐상류","","충청북도 옥천군 동이면 적하리",36,17,1.67,127,38,47.78,36.28379722,127.6466056,30060105,"본","하천",1,NA,NA,NA,1,NA,1,NA,NA,"금강유역환경청",2.50591549295775,127.6466056,36.28379722,"small"
"우산","우산","","3006A20","금강","금강","대청댐상류","Ia","충청북도 옥천군 동이면 우산리",36,16,31.07,127,40,30.39,36.27529722,127.6751083,30060105,"본","하천",1,NA,NA,1,NA,NA,NA,1,NA,"금강유역환경청",3.78199591836735,127.6751083,36.27529722,"large"
"보청천1","보청천1","","3007A10","금강","금강","보청천","","충청북도 보은군 내북면 이원리 (이원교부근)",36,32,22.88,127,40,50.4,36.53968889,127.6806667,30070101,"본","하천",1,NA,NA,1,NA,NA,NA,1,NA,"금강유역환경청",1.44154929577465,127.6806667,36.53968889,"small"
"보청천2","보청천2","","3007A20","금강","금강","보청천","","충청북도 보은군 보은읍 이평리 (보은대교)",36,29,1.55,127,43,27.59,36.48376389,127.7243306,30070301,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.55109666666667,127.7243306,36.48376389,"large"
"항건천","항건천","","3007A30","금강","금강","보청천","","충청북도 보은군 수한면 교암리 (병원교)",36,28,37.45,127,41,24.55,36.47706944,127.6901528,30070201,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",2.73757421875,127.6901528,36.47706944,"large"
"보청천3","보청천3","보청A","3007A40","금강","금강","보청천","","충청북도 옥천군 청산면 대성리 (대성리암잠수교)",36,22,26.02,127,49,12.2,36.37389444,127.8200556,30070503,"지","하천",1,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.63687254901961,127.8200556,36.37389444,"large"
"보청천4","보청천4","","3007A50","금강","금강","보청천","Ib","충청북도 옥천군 청성면 고당리",36,17,36.84,127,41,25.74,36.29356667,127.6904833,30070602,"지","하천",1,NA,NA,NA,NA,NA,NA,1,NA,"금강유역환경청",3.74230555555556,127.6904833,36.29356667,"small"
"상곡천","상곡천","금본F1","3008A02","금강","금강","대청댐","","충청남도 금산군 군북면 상곡리 (상곡교)",36,13,0.45,127,34,10.68,36.21679167,127.5696333,30080206,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",5.25772111553785,127.5696333,36.21679167,"large"
"추풍천","추풍천","금본F2","3008A05","금강","금강","대청댐","","충청남도금산군추부면성당리 (도계교)",36,14,16.46,127,30,50.66,36.23790556,127.5140722,30080204,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.082,127.5140722,36.23790556,"small"
"옥천천","옥천천","옥천천","3008A10","금강","금강","대청댐","","충청북도 옥천군 군북면 지오리 (각신)",36,19,52.82,127,33,40.8,36.33133889,127.5613333,30080303,"지","하천",1,NA,1,NA,NA,NA,NA,NA,NA,"한국수자원공사",2.04845070422535,127.5613333,36.33133889,"small"
"회인천","회인천","","3008A20","금강","금강","대청댐","","충청북도 보은군 회인면 죽암리 (죽암교)",36,28,57.84,127,36,17.22,36.48273333,127.6047833,30080403,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.47797222222222,127.6047833,36.48273333,"small"
"주원천","주원천","","3008A30","금강","금강","대청댐","","대전광역시 동구 세천동 (세천교)",36,21,25.94,127,24,8,36.35720556,127.4022222,30080404,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",3.268625,127.4022222,36.35720556,"small"
"대청댐","대청댐","","3008A40","금강","금강","대청댐","","대전광역시 동구 추동 (추동취수탑)",36,22,6.11,127,28,43.66,36.36836389,127.4787944,30080401,"본","하천",1,NA,NA,NA,1,NA,1,NA,NA,"금강물환경연구소",1.73382470119522,127.4787944,36.36836389,"large"
"품곡천","품곡천","","3008A50","금강","금강","대청댐","","충청북도 청주시 문의면 노현리 (노현교)",36,30,38.08,127,31,41.22,36.51057778,127.5281167,30080406,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",1.69604166666667,127.5281167,36.51057778,"small"
"대청","대청","금본F","3008A52","금강","금강","대청댐","","충청북도 청주시 현도면 하석리 (대청교)",36,28,22.65,127,28,38.57,36.47295833,127.4773806,30080401,"본","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.31109163346614,127.4773806,36.47295833,"large"
"용호천","용호천","금본G1","3008A55","금강","금강","대청댐","","대전광역시 대덕구 용호동 (수도교)",36,26,42.55,127,27,15.66,36.44515278,127.45435,30080502,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.82688815789474,127.45435,36.44515278,"large"
"현도","현도","현도","3008A60","금강","금강","대청댐","Ia","대전광역시 대덕구 석봉동",36,26,45.86,127,27,17.12,36.44607222,127.4547556,30080503,"본","하천",1,NA,1,1,NA,1,NA,1,NA,"금강유역환경청",2.651796812749,127.4547556,36.44607222,"large"
"두계천1","두계천1","","3009A05","금강","금강","갑천","","충청남도 계룡시 엄사면 엄사리 (두계교)",36,15,38.09,127,16,57.99,36.26058056,127.282775,30090113,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",3.48797222222222,127.282775,36.26058056,"small"
"봉곡2교","봉곡2교","","3009A10","금강","금강","갑천","","대전광역시서구봉곡동(봉곡2교)",36,15,11.73,127,19,30.76,36.25325833,127.3252111,30090115,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",5.01477142857143,127.3252111,36.25325833,"small"
"갑천1","갑천1","","3009A15","금강","금강","갑천","","대전광역시 서구 정림동 (가수원교)",36,18,22.15,127,21,29.25,36.30615278,127.358125,30090203,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",2.00797183098592,127.358125,36.30615278,"small"
"갑천2","갑천2","","3009A20","금강","금강","갑천","","대전광역시서구월평동(만년교)",36,21,5.93,127,20,56.97,36.35164722,127.3491583,30090203,"지","하천",1,NA,NA,NA,NA,NA,1,NA,NA,"대전광역시",6.66566197183099,127.3491583,36.35164722,"small"
"갑천3","갑천3","","3009A25","금강","금강","갑천","","대전광역시 서구 삼천동 (대덕대교)",36,22,25.34,127,22,45.96,36.37370556,127.3794333,30090607,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",4.15862151394422,127.3794333,36.37370556,"large"
